time,u_std_stable_spiral,v_std_stable_spiral,u_std_turbulent_spiral,v_std_turbulent_spiral
86.0,0.6705749207081878,0.6704886971583248,0.6411430993891,0.6695704156369489
86.10000000000001,0.6705678165550712,0.6704966591336063,0.6398637780718919,0.6707802794847584
86.2,0.6705595116638285,0.670505822004177,0.6388931800028179,0.6716863884597954
86.30000000000001,0.6705502933056033,0.6705158980741962,0.6382449386145351,0.672277941145635
86.4,0.6705404801475786,0.670526568935994,0.6379277919117096,0.6725481113937914
86.5,0.6705304110231235,0.6705374952673577,0.6379454926068041,0.6724940292151139
86.60000000000001,0.6705204345473766,0.6705483288916819,0.6382968034228371,0.6721167359815883
86.7,0.6705108966336294,0.670558723412,0.638975579922314,0.6714211147484413
86.80000000000001,0.6705021299702145,0.670568346713775,0.6399709403470569,0.6704157959675081
86.9,0.670494441901877,0.670576891012736,0.6412675177573552,0.6691130392931494
87.0,0.670488105177888,0.6705840841731749,0.6428457854720224,0.6675285930010262
87.10000000000001,0.670483347783886,0.6705896978240489,0.6446824432945302,0.6656815332194247
87.2,0.670480346207997,0.6705935560118047,0.6467508496735674,0.6635940853329969
87.30000000000001,0.6704792185595361,0.6705955402882143,0.6490214841914045,0.6612914293367809
87.4,0.6704800212803325,0.6705955945681337,0.6514624259478318,0.6588014895785205
87.5,0.6704827464511619,0.6705937264787272,0.6540398360848655,0.6561547073333222
87.60000000000001,0.6704873224285577,0.670590007791466,0.656718436056929,0.6533837924949084
87.7,0.6704936156902657,0.6705845718112986,0.6594619763750531,0.6505234487349358
87.80000000000001,0.6705014353548305,0.6705776093263405,0.6622336931405882,0.6476100651173194
87.9,0.6705105393265094,0.6705693623439356,0.664996751766305,0.6446813666671508
88.0,0.6705206421285625,0.6705601160794699,0.6677146785997808,0.6417760169615131
88.10000000000001,0.6705314245508854,0.6705501898417465,0.6703517814357387,0.6389331676238853
88.2,0.6705425437727992,0.6705399260930112,0.6728735590974128,0.6361919527009268
88.30000000000001,0.6705536452635333,0.6705296796796844,0.6752470986428196,0.633590930004656
88.4,0.6705643738519533,0.6705198053763864,0.6774414570953926,0.6311674762991432
88.5,0.670574386337158,0.6705106468932304,0.6794280235284277,0.628957148174136
88.60000000000001,0.6705833620251784,0.670502524517967,0.6811808570833547,0.62699302513356
88.7,0.6705910144134319,0.6704957253755202,0.6826769967310219,0.625305055510017
88.80000000000001,0.670597099777294,0.6704904927771754,0.683896738634444,0.6239194289785376
88.9,0.6706014264062066,0.6704870190498935,0.6848238765825354,0.6228580013324894
89.0,0.670603860080414,0.6704854379909679,0.6854459004413272,0.6221377973548977
89.10000000000001,0.6706043296466813,0.6704858212462904,0.6857541475048472,0.621770615700909
89.2,0.6706028286321227,0.6704881748676284,0.6857439023872365,0.6217627555706666
89.30000000000001,0.6705994164288716,0.6704924397593116,0.6854144426546708,0.6221148787994066
89.4,0.6705942157886129,0.670498492788959,0.6847690294782337,0.6228220133534401
89.5,0.6705874094650061,0.6705061512907027,0.6838148447773886,0.6238736958686582
89.60000000000001,0.6705792338723534,0.6705151785784271,0.6825628781912553,0.6252542427057227
89.7,0.6705699716274099,0.6705252919517598,0.6810277685570835,0.6269431318588878
89.80000000000001,0.6705599421695452,0.6705361718848755,0.6792276056677918,0.6289154725132078
89.9,0.6705494911755694,0.6705474725045841,0.6771836995845409,0.6311425353528106
90.0,0.6705389793558794,0.6705588332507397,0.6749203271950394,0.633592314969361
90.1,0.6705287701211942,0.6705698904517724,0.672464468862188,0.636230096035241
90.2,0.6705192180298494,0.6705802899341162,0.6698455510810766,0.639018997563755
90.3,0.6705106563132649,0.670589698159059,0.6670952128205028,0.6419204749754218
90.4,0.6705033865160548,0.6705978141387177,0.6642471118246536,0.644894768334379
